masamune shirow
akira toriyama
hideaki anno
hayao miyazaki
yasuhiro nightow
range murata
atsushi kamijo
hideo kojima
naoko takeuchi
tsutomu nihei
naoki urasawa
yasushi nirasawa
junji okubo
kazuaki kita
salvador dalí
rené magritte
max ernst
remedios varo
leonora carrington
yves tanguy
giorgio de chirico
joan miró
paul klee
frida kahlo
dorothea tanning
kay sage
lee miller
leonor fini
meret oppenheim
andré masson
francis picabia
victor brauner
dada
wifredo lam
edvard munch
odilon redon
james gleeson
robert gober
yayoi kusama
toshiko okanoue
katsuhiro otomo
yoko ono
takashi murakami
kenji yanobe
chiharu shiota
mariko mori
shūji terayama
hiroshi sugimoto
shintaro ohata
noritoshi hirakawa
masami teraoka
takehiko inoue
chihiro iwasaki
yuko shimizu
hirohiko araki
shigeru miyamoto
osamu tezuka
shintaro kago
tadanori yokoo
makoto shinkai
shinichi maruyama
hajime sorayama
katsuya terada
yukito kishiro
satoshi kon
tatsuro kiuchi
masaaki yuasa
kinoko evans
takehisa yumeji
chuck close
joel rea
alyssa monks
mary jane ansell
ron mueck
claudio bravo
gottfried helnwein
jason de graaf
yigal ozeri
paul cadden
andrew wyeth
edward hopper
gustave courbet
diego velázquez
johannes vermeer
jan van eyck
caravaggio
ilya repin
jean-baptiste-camille corot
antonio mancini
paul delaroche
jean-auguste-dominique ingres
william-adolphe bouguereau
konstantin korovin
jean-francois millet
thomas eakins
anders zorn
jamie wyeth
bo bartlett
aaron westerberg
ivan shishkin
richard schmid
joaquín sorolla
isaac levitan
alexei savrasov
jean-léon gérôme
j. m. w. turner
franz kline
willem de kooning
joan mitchell
cy twombly
gerhard richter
lucian freud
jenny saville
leon kossoff
cecily brown
peter doig
john singer sargent
berthe morisot
vincent van gogh
paul cézanne
jackson pollock
helen frankenthaler
lee krasner
richard diebenkorn
david hockney
anselm kiefer
chris ofili
peter saul
julian schnabel
dana schutz
frank auerbach
sean scully
claude monet
pierre-auguste renoir
edgar degas
camille pissarro
alfred sisley
gustave caillebotte
édouard manet
mary cassatt
frederic bazille
armand guillaumin
henri matisse
chaim soutine
mark rothko
james abbott mcneill whistler
winslow homer
william merritt chase
childe hassam
lilla cabot perry
pierre bonnard
maurice denis
paul signac
maximilien luce
georges seurat
paul gauguin
clyfford still
theodore robinson
édouard vuillard
